label;precision;recall;f1-score
activity;0.5378787878787878;0.6283185840707964;0.5795918367346938
actor;0.8503401360544217;0.9615384615384616;0.9025270758122743
catch;0.2222222222222222;0.13333333333333333;0.16666666666666669
condition;0.8125;0.7222222222222222;0.7647058823529411
trigger;0.4;0.23529411764705882;0.29629629629629634
micro avg;0.6909090909090909;0.7331189710610932;0.7113884555382216
macro avg;0.5645882292310864;0.5361413437623745;0.5419575515725744
weighted avg;0.6775172155971422;0.7331189710610932;0.7006072225349164
