label;precision;recall;f1-score
activity;0.5725190839694656;0.6637168141592921;0.6147540983606556
actor;0.8857142857142857;0.9538461538461539;0.9185185185185185
catch;0.6666666666666666;0.13333333333333333;0.2222222222222222
condition;0.8;0.7777777777777778;0.7887323943661971
trigger;0.5;0.35294117647058826;0.41379310344827586
micro avg;0.7320872274143302;0.7556270096463023;0.7436708860759494
macro avg;0.6849800072700836;0.5763230511174291;0.5916040673831738
weighted avg;0.730345702994877;0.7556270096463023;0.7319511344414746
