label;precision;recall;f1-score
activity;0.44565217391304346;0.36283185840707965;0.4
actor;0.785234899328859;0.9;0.8387096774193548
catch;0.09090909090909091;0.06666666666666667;0.07692307692307691
condition;0.7692307692307693;0.5555555555555556;0.6451612903225806
trigger;0.6666666666666666;0.11764705882352941;0.2
micro avg;0.6441281138790036;0.5819935691318328;0.6114864864864865
macro avg;0.5515387200096857;0.4005402278905662;0.4321588089330025
weighted avg;0.6200273631967942;0.5819935691318328;0.5852473011896308
