label;precision;recall;f1-score
activity;0.5826086956521739;0.5929203539823009;0.5877192982456141
actor;0.9153846153846154;0.9153846153846154;0.9153846153846154
catch;0.2;0.06666666666666667;0.1
condition;0.8;0.6666666666666666;0.7272727272727272
trigger;0.2857142857142857;0.11764705882352941;0.16666666666666666
micro avg;0.7421602787456446;0.684887459807074;0.7123745819397994
macro avg;0.556741519350215;0.4718570723047558;0.49940866151392466
weighted avg;0.712192686385333;0.684887459807074;0.6943004251347458
