label;precision;recall;f1-score
activity;0.4854368932038835;0.4424778761061947;0.46296296296296297
actor;0.7867647058823529;0.823076923076923;0.8045112781954886
catch;0.16666666666666666;0.06666666666666667;0.09523809523809522
condition;0.6944444444444444;0.6944444444444444;0.6944444444444444
trigger;0.25;0.17647058823529413;0.20689655172413793
micro avg;0.6348122866894198;0.5980707395498392;0.6158940397350994
macro avg;0.47666254203946956;0.44062729970590453;0.45281066651302576
weighted avg;0.6073433462917838;0.5980707395498392;0.6007945137881354
